L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
1.217740387658435564e-01,5.351225498651705076e-02,-1.533827082815251430e-01,-1.396276068603115594e-01,-1.900825391588386801e-02,1.165053266935541232e-01
1.209888402480985142e-01,5.320036319711903688e-02,-1.531694650378908062e-01,-1.402813654872134552e-01,-1.819574235135758278e-02,1.181515334960259317e-01
1.202003105239920766e-01,5.295846447656725464e-02,-1.528726741553098900e-01,-1.409594548329811958e-01,-1.736664403556252914e-02,1.197012055723241930e-01
1.194078062380884292e-01,5.278364383292406120e-02,-1.524980611836854461e-01,-1.416608121477455906e-01,-1.652061660581647523e-02,1.211547370184391514e-01
1.186106977020980890e-01,5.267318856509355801e-02,-1.520513111014938357e-01,-1.423844523293217867e-01,-1.565751220301192168e-02,1.225128459924711422e-01
1.178084099973995130e-01,5.262448038079708956e-02,-1.515380243943843241e-01,-1.431294509989047004e-01,-1.477731079802752784e-02,1.237765287855813190e-01
1.170004178952205875e-01,5.263500094683906672e-02,-1.509637035106564384e-01,-1.438949406544578757e-01,-1.388010174113639590e-02,1.249470412016879112e-01
1.161862411974911580e-01,5.270233584905840984e-02,-1.503337405668938032e-01,-1.446801070843769799e-01,-1.296606696411214954e-02,1.260258798762432519e-01
1.153654404878592943e-01,5.282417712252467090e-02,-1.496534062485856686e-01,-1.454841860259963593e-01,-1.203546572070947861e-02,1.270147636320388407e-01
1.145376132777754241e-01,5.299832450793021815e-02,-1.489278398518683877e-01,-1.463064600535855797e-01,-1.108862075915887854e-02,1.279156149618868310e-01
1.137023905289474002e-01,5.322268558439199188e-02,-1.481620404140490121e-01,-1.471462556807174582e-01,-1.012590582772401708e-02,1.287305417202550539e-01
1.128594335307600560e-01,5.349527492217352742e-02,-1.473608588822597487e-01,-1.480029406622578592e-01,-9.147734421188630227e-03,1.294618190983822248e-01
1.120084311093434010e-01,5.381421239133302170e-02,-1.465289912702525676e-01,-1.488759214817066967e-01,-8.154549682359924292e-03,1.301118719499572141e-01
1.111490971437625042e-01,5.417772075419003547e-02,-1.456709727553263112e-01,-1.497646410101885761e-01,-7.146815378325345816e-03,1.306832575277180053e-01
1.102811683642034302e-01,5.458412266092298182e-02,-1.447911726679573796e-01,-1.506685763240294684e-01,-6.125007876294288889e-03,1.311786486843038169e-01
1.094044024069502768e-01,5.503183715874648135e-02,-1.438937903286809372e-01,-1.515872366685459549e-01,-5.089609048461425991e-03,1.316008175847368511e-01
1.085185761013088002e-01,5.551937581609020511e-02,-1.429828516872135025e-01,-1.525201615563986923e-01,-4.041100039465016919e-03,1.319526199713395298e-01
1.076234839643492175e-01,5.604533855416202887e-02,-1.420622067202229610e-01,-1.534669189896074870e-01,-2.979955833766461532e-03,1.322369800164105991e-01
1.067189368803463101e-01,5.660840926933954909e-02,-1.411355275454982128e-01,-1.544271037950791792e-01,-1.906640563666324147e-03,1.324568757921980866e-01
1.058047609430226854e-01,5.720735132108299703e-02,-1.402063072110560082e-01,-1.554003360642505216e-01,-8.216035017762771727e-04,1.326153253830133216e-01
1.048807964400909482e-01,5.784100295160037736e-02,-1.392778591189577087e-01,-1.563862596881871458e-01,2.747243153978756302e-04,1.327153736587891319e-01
1.039468969610914256e-01,5.850827269538504127e-02,-1.383533170448790484e-01,-1.573845409801990225e-01,1.381932883464387796e-03,1.327600797253033760e-01
1.030029360157200119e-01,5.920804706739853790e-02,-1.374355953281324594e-01,-1.583948696655130273e-01,2.499716482359881989e-03,1.327524653804904309e-01
1.020488012746968431e-01,5.993925828647528320e-02,-1.365274169684982941e-01,-1.594169557288143135e-01,3.627810957826820438e-03,1.326955295426194281e-01
1.010843924582067316e-01,6.070089808707834766e-02,-1.356313225991987725e-01,-1.604505277701311905e-01,4.765978324628163468e-03,1.325922448630810213e-01
1.001096206040396897e-01,6.149201358859474054e-02,-1.347496729137287463e-01,-1.614953319086733508e-01,5.914007188569526084e-03,1.324455483636785003e-01
9.912440740722083810e-02,6.231170334927721433e-02,-1.338846515259371484e-01,-1.625511307434903963e-01,7.071712849818324181e-03,1.322583327949431731e-01
