L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
-1.424018308850621972e-01,-1.559248638985670336e-02,1.224753363279975082e-01,1.185468352623496313e-01,5.269417227536230680e-02,-1.520176307364077273e-01
-1.431471574999859386e-01,-1.471100763217423821e-02,1.237364958555848132e-01,1.177445116314997653e-01,5.264482409508319805e-02,-1.515017996976568970e-01
-1.439129594171955351e-01,-1.381257421323622142e-02,1.249045252775662918e-01,1.169364653792246689e-01,5.265475603360035561e-02,-1.509249938948968306e-01
-1.446984218208487438e-01,-1.289736869299301994e-02,1.259809263451234229e-01,1.161222179121340903e-01,5.272155106564050536e-02,-1.502926098174659220e-01
-1.455027799171464964e-01,-1.196565074302129161e-02,1.269674226519418025e-01,1.153013313725348016e-01,5.284289866234766903e-02,-1.496099221231959042e-01
-1.463253158200721049e-01,-1.101774333156389438e-02,1.278659411150140091e-01,1.144734047720576964e-01,5.301659606883087766e-02,-1.488820736891866003e-01
-1.471653556512329819e-01,-1.005402024202574178e-02,1.286785936662329932e-01,1.136380705042556311e-01,5.324054845353778237e-02,-1.481140667524545318e-01
-1.480222668390995810e-01,-9.074894832627506888e-03,1.294076592290763772e-01,1.127949912145032874e-01,5.351276807349514969e-02,-1.473107550894819096e-01
-1.488954556034121912e-01,-8.080809951165494887e-03,1.300555660475642972e-01,1.119438570036256908e-01,5.383137259193125634e-02,-1.464768371849364537e-01
-1.497843646110927907e-01,-7.072228924485581686e-03,1.306248744274048634e-01,1.110843829404830341e-01,5.419458267664251094e-02,-1.456168503408769022e-01
-1.506884707906343823e-01,-6.049627547401029148e-03,1.311182599428960260e-01,1.102163068581498012e-01,5.460071899886937558e-02,-1.447351656796742325e-01
-1.516072832926284031e-01,-5.013487000391435647e-03,1.315384971563605676e-01,1.093393874082645711e-01,5.504819874352574055e-02,-1.438359839940811513e-01
-1.525403415848115285e-01,-3.964287629585790985e-03,1.318884438912073243e-01,1.084534023484970827e-01,5.553553173258798242e-02,-1.429233324000173111e-01
-1.534872136707581547e-01,-2.902503526283597285e-03,1.321710260936121983e-01,1.075581470388155547e-01,5.606131625436533428e-02,-1.420010617484169790e-01
-1.544474944220947943e-01,-1.828597846675001325e-03,1.323892233123146744e-01,1.066534331232584787e-01,5.662423468239605184e-02,-1.410728447532844931e-01
-1.554208040148614134e-01,-7.430188155329680005e-04,1.325460548211661593e-01,1.057390873751569982e-01,5.722304895894032850e-02,-1.401421747949266050e-01
-1.564067864613814807e-01,3.538036395016204688e-04,1.326445664038603534e-01,1.048149506851621809e-01,5.785659600953902554e-02,-1.392123653579059595e-01
-1.574051082297188431e-01,1.461460673779462057e-03,1.326878178157190336e-01,1.038808771729473196e-01,5.852378314696708717e-02,-1.382865500645425461e-01
-1.584154593410707634e-01,2.579648159887769181e-03,1.326788311166369472e-01,1.029367407335328582e-01,5.922349558253178770e-02,-1.373676427479711692e-01
-1.594375501227323355e-01,3.708103523769506853e-03,1.326206052587042827e-01,1.019824293352200317e-01,5.995466441475805902e-02,-1.364583657101175185e-01
-1.604711095417452049e-01,4.846590374519452356e-03,1.325161126879951801e-01,1.010178429376535209e-01,6.071628034138929625e-02,-1.355612586820178211e-01
-1.615158841051682892e-01,5.994898917402385202e-03,1.323682899958035508e-01,1.000428927646260374e-01,6.150738952254596742e-02,-1.346786812650777876e-01
-1.625716368173756587e-01,7.152846048935742641e-03,1.321800292909980634e-01,9.905750064831359003e-02,6.232708962871807284e-02,-1.338128158053293326e-01
-1.636381461902714218e-01,8.320275169552535446e-03,1.319541702828388174e-01,9.806159843264138087e-02,6.317452608967047412e-02,-1.329656706653601639e-01
-1.647152053027869378e-01,9.497055747619997934e-03,1.316934930610775822e-01,9.705512742518340730e-02,6.404888855593306174e-02,-1.321390838597537032e-01
-1.658026209064562551e-01,1.068308266681783185e-02,1.314007115578793017e-01,9.603803788856409007e-02,6.494940758057105024e-02,-1.313347270208946593e-01
-1.669002125742511666e-01,1.187827538708188628e-02,1.310784676741535426e-01,9.501028856375640097e-02,6.587535152538172289e-02,-1.305541096634242337e-01
-1.680078118902013362e-01,1.308257694750215513e-02,1.307293260510644928e-01,9.397184621896018109e-02,6.682602369252492458e-02,-1.297985837163615208e-01
-1.691252616776274531e-01,1.429595283773655613e-02,1.303557694659871202e-01,9.292268521889661403e-02,6.780075967986258501e-02,-1.290693482933606695e-01
-1.702524152640812471e-01,1.551838976267389328e-02,1.299601948308623245e-01,9.186278711037867972e-02,6.879892495592750123e-02,-1.283674546726568666e-01
-1.713891357813155936e-01,1.674989432325703700e-02,1.295449097697662089e-01,9.079214022091633418e-02,6.981991264844288059e-02,-1.276938114591836815e-01
